H/T,Category,CS
പുരുഷൻ മാർ ഇങ്ങനെ പുരുഷൻ മാരെ തന്നെ കല്യാണം കഴിച്ചാൽ നമ്മുടെ കേരളത്തിലെ സ്ത്രീകളെ ആരു കല്യാണം കഴിക്കും അതുകൊണ്ട് സഹോദരിമാരെ നിങ്ങൾ ആരും ഈ തോന്നിവാസത്തിനു സപ്പോർട്ട് ചെയ്യരുതേ കാരണം ഇത് ഒരു തരം പ്രാന്ത് ആണ് സൈക്യാട്രിസ്റ്റിനെ കണ്ടു ചികിത്സയാണ് ഇതിനു വേണ്ടത്  ഇവരുടെ പ്രവൃത്തികൾ മനുഷ്യത്വത്തെ തകർക്കുന്നു.,Homophobic-Derogation,ഓരോ വ്യക്തിക്കും സ്വന്തം ജീവിതം എങ്ങനെ നയിക്കണമെന്ന് തീരുമാനിക്കാനുള്ള അവകാശം ഉണ്ട്. നമ്മുടെ സമൂഹം സഹവാസത്തിലൂടെ മാത്രമേ മുന്നോട്ട് പോവൂ.
ആ പ്രകൃതി മാറ്റിമറിക്കാന്‍ മനുഷ്യന് അവകാശമില്ല മൃഗങ്ങള്‍ പോലും ഈ പ്രകൃതിനിയമത്തെ അനുസരിച്ചാണ് ജീവിക്കുന്നത് കാമപൂർത്തീകരണത്തിന്എന്ത്മാര്‍ഗവും സ്വീകരീക്കാം എന്ന വൃത്തികെട്ട ആശയം വച്ചുപുലര്‍ത്തുന്നവരാണിവര്‍. മനുഷ്യവര്‍ഗത്തിന് തന്നെ നാണക്കേടും ഭീഷണിയുമാണിവര്‍. നീയൊക്കെ ഇന്ത്യാരാജ്യത്ത് ജനിച്ചതു നിന്റെയൊക്കെ ഭാഗ്യംഇവിടെയിപ്പോള്‍ എന്ത് വൃത്തികേടുകള്‍ക്കും നിയമത്തിന്റെ സപ്പോര്‍ട്ടുണ്ടല്ലോ  Ee mathiri nadappukal society ne hurt cheyyunnu.,Homophobic-Derogation,"Oru personinte swabhavangal orupadu kaaryam parayunnu, ath respect cheyyanam. നമ്മുടെ സമൂഹം സഹവാസത്തിലൂടെ മാത്രമേ മുന്നോട്ട് പോവൂ."
ആണുങ്ങളുടെ വില കളയാൻ കുണ്ടൻ  നമുക്ക് ഇങ്ങനെയുള്ള പ്രവൃത്തികൾ സഹിക്കാനാവില്ല.,Homophobic-Derogation,മനുഷ്യരെ മനസ്സിലാക്കാനും മാന്യമായി സമീപിക്കാനും നമ്മളെല്ലാവർക്കും ബാധ്യതയുണ്ട്. ithine kurichu namukku serious aayi chinthikkam.
ഇത് പോലെ കുറെ തായോളികൾ ഉണ്ട് സമൂഹത്തിൽ കയ്യിൽ കിട്ടിയ ഒരു ദാക്ഷണ്യവും കാണികണ്ട അടിച്ച് ചെവിക്കല്ല് പൊട്ടിച്ചോണം ആണും പെണ്ണും കെട്ട ശവങ്ങൾ  Ithu okke kandal manassil thonniya oru negative vibe aanu.,Homophobic-Derogation,"Oru personinte swabhavangal orupadu kaaryam parayunnu, ath respect cheyyanam. ithaanu oru responsible approach."
എനിക്ക് ട്രാൻസ്‍ജൻഡർ ഫോബിയ ഉണ്ട്അവരെ കണ്ടാൽ ഓടും ഞാൻകാരണം അറിയില്ല ബോംബയിൽ ട്രെയിൻ പോയവർക്ക് മനസ്സിലാവും  ഇത് സമൂഹത്തിൽ വലിയ അസ്ഥിരത സൃഷ്ടിക്കുന്നു.,Homophobic-Derogation,അവരുമായി സഹവാസം നമുക്ക് നല്ലൊരു സമൂഹം സൃഷ്ടിക്കാനാണ് വഴി. സ്നേഹമാണ് ഏറ്റവും പ്രധാനപ്പെട്ടത്.
കുണ്ടന്മാർ കുരു പൊട്ടിക്കുന്നു  Ee mathiri nadappukal society ne hurt cheyyunnu.,Homophobic-Derogation,Understanding and respect mathram aanu nalla society undakunna vazhi. ithine kurichu namukku serious aayi chinthikkam.
ആണത്തം നഷ്ടപെട്ട ആണും പെണ്ണും കെട്ടവന്മാർ 2 ഉം ഇനി എത്ര എണ്ണം വരുന്നുണ്ടോ എന്തോ  ഇതിന്റെ പിന്നിൽ വലിയ പ്രശ്നങ്ങൾ അടങ്ങിയിരിക്കുന്നു.,Homophobic-Derogation,ഒരു വ്യക്തിയെയും അവന്റെ ഇഷ്ടങ്ങൾ കൊണ്ടു കളിയാക്കുന്നത് ശരിയല്ല. അവരെ മാനിക്കുക എന്നത് നമ്മുടെ വലിയ ഘടകമാണ്.
Mumbail poyal ivarude thani niram kaanam. Paisa chodhichal koduthillel adikkukayum theri parayukayum cheyyum athukondu thanneya veruppu  Ithu okke kandal manassil thonniya oru negative vibe aanu.,Homophobic-Derogation,Understanding and respect mathram aanu nalla society undakunna vazhi. അവരെ മാനിക്കുക എന്നത് നമ്മുടെ വലിയ ഘടകമാണ്.
മാർപാപ്പാ കുണ്ടൻ ആയിരിക്കും അതാ പുള്ളി അനുകൂലിച്ചത് ഹി ഹി ഹിയിനിയിപ്പോ ചെയുകത്താൻ പാവമുവാണ്എന്ന കുടി പറയു അപ്പൊ പിന്നെ പാപങ്ങൾ ഉണ്ടാകില്ലലോ  ഈ നിലപാട് സാംസ്കാരിക മൂല്യങ്ങൾക്കെതിരെ പോകുന്നു.,Homophobic-Derogation,"വ്യത്യസ്തതകൾ സമൂഹത്തിന്റെ സൗന്ദര്യമാണ്, അത് മാനിക്കപ്പെടണം. ithine kurichu namukku serious aayi chinthikkam."
What freedom gay marriage is not legal. We should not encourage. Pand Ulla allkarkum ingane prashnam oke undayirinu but avar Athu adjust cheyth kudumba life kond poyernu. Ipo mindiyaa gay marriage. Ivark angane kutti undava. Ithode koodi ivarde thalamura ivade avasanikyum. Elavarum ingane thudangiya dinosaur oke poya pole manushan um ee boomi IL nin poyikollum  Ee mathiri nadappukal society ne hurt cheyyunnu.,Homophobic-Derogation,"Pakshe, ithu pole chinthakal namukku oru samadhanam tharumenn thonnunnilla. ithine kurichu namukku serious aayi chinthikkam."
