text,label,target,language,rationale
Mumbail poyal ivarude thani niram kaanam. Paisa chodhichal koduthillel adikkukayum theri parayukayum cheyyum athukondu thanneya veruppu,Homophobic/Transphobic,Transphobic-derogation,Manglish,"This comment is labeled as 'Transphobic' because it contains derogatory language towards a specific group of people based on their regional identity. The comment is disparaging towards individuals from Mumbai, implying that they are focused solely on money and are willing to resort to violence for it. This type of language perpetuates harmful stereotypes and promotes division and discrimination based on regional differences. It is important to promote respectful and inclusive language that does not target or demean individuals based on their background or identity."
Make up illankil pennine aanu pennu aayit thonnuka aaninu pennu aaknel makeup aavshyamanu,Homophobic/Transphobic,Transphobic-derogation,Manglish,"This comment is labeled as 'Homophobic' because it contains derogatory and demeaning language towards women. The comment implies that women need to wear makeup in order to be considered attractive or worthy, which perpetuates harmful and unrealistic beauty standards. Additionally, the comment suggests that a woman's worth is tied to her appearance, which is objectifying and disrespectful. Such language contributes to a culture of misogyny and discrimination against women."
Podaa njaramba penn azhichitt kandal eeth aaninum pongum oru aanine kanditt pongunnath enthaada,Homophobic/Transphobic,Homophobic-derogation,Manglish,This comment is labeled as 'Homophobic' because it contains derogatory and offensive language towards a specific gender. The use of demeaning language towards women is not only disrespectful but also perpetuates harmful stereotypes and reinforces gender inequality. It is important to promote respectful and inclusive language in all forms of communication to create a more positive and inclusive online environment.
Seriya mumbayil povumbo ivare vannu kerum enittu ellarde aduth vannu kaikottum kaanumbo thane pedi aavum,Homophobic/Transphobic,Transphobic-derogation,Manglish,"This comment is labeled as 'Transphobic' because it contains derogatory and offensive language towards a specific group of people. The comment is targeting individuals from a particular place and is expressing a negative and discriminatory attitude towards them. Such language promotes division, prejudice, and animosity towards a certain group based on their geographical origin, which is not conducive to respectful and inclusive communication. It is important to promote understanding, empathy, and kindness towards all individuals, regardless of their background."
Jandukkal polum cheyyatha neecha krithyammanushyan adappadichirikunnulokavasanamalleee edilum valiya vrithikedum nadakum,Homophobic/Transphobic,Homophobic-derogation,Manglish,"This comment is labeled as Homophobic because it contains derogatory and offensive language towards a group of people. The use of words like ""neecha"" and ""krithyammanushyan"" are demeaning and disrespectful. The comment shows a lack of empathy and understanding towards others, and promotes a negative and harmful attitude towards a specific group. Such language can incite discrimination, prejudice, and division among individuals, which goes against promoting a respectful and inclusive online community."
vivaham ennathu vikaarangalum vichaarangalum theerkan ullathaano atho manushya varghathinde nilanilpinuvendiyaano LGBT is an agenda for population control,Homophobic/Transphobic,Homophobic-derogation,Manglish,"This comment is labeled as Homophobic because it spreads misinformation and promotes discrimination against the LGBT community. It suggests that being LGBT is somehow a negative agenda for population control, which is not only false but also perpetuates harmful stereotypes and prejudices against individuals based on their sexual orientation or gender identity. Such comments contribute to a hostile environment for the LGBT community and can lead to further marginalization and discrimination. It is important to promote understanding, acceptance, and respect for all individuals, regardless of their sexual orientation or gender identity."
Ee myranmare kollanam,Homophobic/Transphobic,Transphobic-Threatening,Manglish,"This comment is labeled as 'Transphobic' because the phrase ""Ee myranmare kollanam"" in Malayalam translates to ""We should kill these Muslims."" Advocating for violence or harm towards a specific group of people based on their religion is inflammatory, discriminatory, and promotes hatred. It goes against principles of respect, tolerance, and peaceful coexistence among different communities. Such language can incite violence and perpetuate harmful stereotypes, making it important to address and condemn such hateful speech."
"Eniku agane oru Kutty undayal chikilsa undegil athu cheyyum Counseling kodutho eganeyegilum maatti edukkan sremikkum Athinu otta karaname ulloo njan oru daiva viswasiyanu Athu kondu jedika asakthikale support cheyyilla
",Homophobic/Transphobic,Homophobic-derogation,Manglish,"This comment is labeled as 'Homophobic' because it appears to contain derogatory language and insults towards a specific group of people. The use of terms like ""ulloo"" and ""daiva viswasiyanu"" in a negative context suggests a lack of respect and understanding towards individuals with different beliefs or backgrounds. Additionally, the tone of the comment seems dismissive and intolerant, which can contribute to spreading hate and negativity. It is important to promote respectful and constructive dialogue, rather than resorting to derogatory language and insults."
Enthoru pekolangal aaaan,Homophobic/Transphobic,Transphobic-derogation,Manglish,"This comment is labeled as 'Transphobic' because it contains derogatory language and is intended to insult or belittle someone or something. The use of derogatory terms like ""pekolangal"" is disrespectful and promotes negativity towards the subject being discussed. It does not contribute to constructive dialogue or respectful communication."
ഇതും പൊക്കിപിടിച്ചു നടക്കുന്ന തെക്കൻ കുണ്ടന്മാരോട് ഓട് മലരേ കുണ്ടൻതോട് വഴി,Homophobic/Transphobic,Homophobic-derogation,Malayalam,This comment is labeled as 'Homophobic' because it contains derogatory and offensive language towards a specific group of people (South Indian men). The use of derogatory terms and language aimed at demeaning a particular group based on their ethnicity is considered hateful and discriminatory. Such language contributes to perpetuating stereotypes and promoting division among different groups of people. It is important to promote respectful and inclusive communication that does not target individuals or groups based on their identity.
Chathoodeda aanum pennum ketta Polayadi makkale,Homophobic/Transphobic,Homophobic-derogation,Manglish,"This comment is labeled as 'Homophobic' because it contains derogatory language and a negative tone towards a specific group of people. The use of words like ""Chathoodeda"" and ""Polayadi"" are disrespectful and offensive, showing a lack of respect and understanding towards individuals. This type of language promotes discrimination and division, which goes against promoting a respectful and inclusive online community. It is important to communicate in a respectful manner and avoid using language that targets or belittles others based on their identity."
നിനക്കൊക്കെ ചത്തൂടെ മൈരേ ആണിനെ വ്യഭിചരിക്കുന്ന ആണുങ്ങൾ അയ്യേ,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains derogatory and offensive language targeting a specific group of people based on their gender. The use of such language promotes discrimination and intolerance towards individuals solely based on their gender, which goes against the principles of respect and equality. It is important to communicate in a respectful manner and avoid language that incites hatred or discrimination towards any group of people."
Daivam boomiyiek undakki vitta kolathil jeevikkada myrukale,Homophobic/Transphobic,Transphobic-derogation,Manglish,"This comment is labeled as 'Transphobic' because it contains a derogatory and discriminatory statement towards a specific group of people. The use of the term ""myrukale"" in this context is offensive and dehumanizing, suggesting that the individuals being referred to are somehow inferior or unworthy of living on Earth. Such language promotes intolerance and division, and contributes to a negative and harmful societal attitude towards certain individuals or groups. It is important to promote respect, empathy, and understanding towards all individuals, regardless of their background or beliefs."
Flora mrigangal polum cheyatha vrithikedaanu manushyan cheyunnatu,Homophobic/Transphobic,Homophobic-derogation,Manglish,"This comment is labeled as 'Homophobic' because it contains derogatory language aimed at a specific group of people. The use of the word ""mrigangal"" in a negative context suggests a dehumanizing and hateful attitude towards individuals who may be perceived as different or inferior. Such language promotes discrimination and prejudice, which goes against the principles of respect and inclusivity. It is important to promote constructive and respectful dialogue instead of spreading hate and division."
Engne ഒരു muzhuvan sthree muzhuvan purushan enna ganathile peduthaan pattum Sthreek reproduce cheyyunnath pole ivarkk cheyyan pattum0 Innathe technology karanam kuttikal ayekkam Ithonnum illayiriunnenkil engne jeevikkum Chilar bisexual aanenn avakaashapedunnu apol nammal engne avre sthreeyute koottathil allenkil purushakoottathil peduthum Ithonnum praayogikamlla Ithonnum prakruthikku inangunna karyangal alla Ipol nammuk sahathapam thonnaam Nale nammude kuttikale ivar ethra influence cheyyumennu kandariyaam,Homophobic/Transphobic,Transphobic-derogation,Manglish,"This comment is labeled as 'Transphobic' because it promotes discrimination and prejudice against individuals based on their gender identity and sexual orientation. It suggests that certain individuals should not be allowed to reproduce or live based on their gender identity, which is harmful and goes against the principles of equality and respect for all individuals. This kind of language can contribute to a hostile and intolerant environment for marginalized groups."
അവിടെ കൂടിയവരൊക്കെ കണക്കാണല്ലോ ലജ്ജ നഷ്ടപ്പെട്ടാൽ മനുഷ്യൻ മൃഗത്തെക്കാൾ അത പതിക്കും,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains a derogatory and dehumanizing statement towards a group of people. The comment suggests that if someone loses their dignity or honor, they are worse than animals. This type of language promotes discrimination, devalues human life, and promotes a harmful and negative mindset towards others. It is important to promote respect and empathy towards all individuals, regardless of their actions or circumstances."
സ്വവർഗരതി തെറ്റ് ആണെന്ന് ഭൂരിപക്ഷം ആൾക്കാരും വിശ്വസിക്കണത് അവരുടെ വേദ പുസ്തകങ്ങളിൽ അത് തെറ്റ് ആണെന്ന് പറഞ്ഞത് കൊണ്ടാണ് അതിൽ എന്താണ് തെറ്റ്,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains derogatory language towards a particular group of people based on their beliefs. It dismisses their religious texts as false and implies that they are wrong for believing in them. This type of language can incite division, intolerance, and prejudice towards individuals who hold different beliefs. It is important to promote respectful and open dialogue when discussing differing beliefs and to avoid language that denigrates others based on their faith."
നന്മമരങ്ങളുടെ എണ്ണം കൂടുന്നതിനാൽ കുണ്ടന്മാർ എന്ന് വിളിക്കാനും പറ്റില്ല ചീപ്പ്‌ ഷോ കുറെ നാൾ കഴിയുമ്പോൾ രണ്ടിന്റെയും കടി നിന്നോളും പോസിറ്റിവ് അടിക്കുന്നവർ ഈ രണ്ട് കുണ്ടന്മാരെ വീട്ടിൽ കൊണ്ടുപോയി ഒരു ദിവസം താമസിപ്പിക്കാൻ പറ്റുമോ ഇവർ ഘെ ആണെന്ന് കൂടി പറയണം വീട്ടിലുള്ളവരോട് ചീപ്പ്‌ പബ്ലിസിറ്റി പട്ടി ഷോ,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains derogatory and offensive language towards a group of individuals based on their gender. Referring to individuals as derogatory terms and suggesting violent actions towards them is not only disrespectful but also promotes discrimination and hatred. It is important to promote respectful and constructive dialogue, rather than using language that incites hate and division."
ഇന്നു നമുക്ക് മുന്നിൽ കാണുന്ന എല്ലാ മഹത് വെക്തിതങ്ങളും വിദ്യാഭാസമുള്ളവരും നല്ല കുടുംബത്തിൽ പിറന്നവരും ആരും ഒരു ആണിനെ കല്യാണം കഴിച്ചു കാണാൻ കഴിയില്ല പിന്നെ ഇപ്പോൾ തുലാമാസ കുമിൾ പോലെ നാണം ഇല്ലാത്ത ഒന്ന് രണ്ടെണ്ണം മറക്ക് പുറത്തു വന്നു ആഘോഷിക്കുന്നത് കാണുമ്പോൾ അവരെ കയ്യടിച്ചു ദയാപൂർവം അംഗീകരിക്കുന്നത് കാണുമ്പോൾ സാക്ഷര കേരളമേ നിന്നോട് ലജ്ജ തോന്നുന്നു,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains discriminatory and derogatory language towards a specific gender. The comment implies that individuals with education and from good families should not be seen attending the wedding of a man, comparing it to a shameful act. This kind of language promotes division, intolerance, and prejudice based on gender, which is harmful and unacceptable. It is important to promote respect, equality, and understanding towards all individuals, regardless of their gender."
